#datumDate,datumId,datumValue
2016-02-05,IR_SWAP/RATE/USD/2D/3M/15Y,0.0193230000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/20Y,0.0206660000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/25Y,0.0212960000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/2Y,0.0092680000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/30Y,0.0217450000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/3Y,0.0102440000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/4Y,0.0113070000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/5Y,0.0124040000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/6Y,0.0135020000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/7Y,0.0143570000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/8Y,0.0151810000
2016-02-05,IR_SWAP/RATE/USD/2D/3M/9Y,0.0160630000
2016-02-05,MM/RATE/EUR/0D/1D,-0.0011220000
2016-02-05,MM/RATE/EUR/2D/1M,-0.0003570000
2016-02-05,MM/RATE/EUR/2D/1W,-0.0005560000
2016-02-05,MM/RATE/EUR/2D/2M,-0.0002250000
2016-02-05,MM/RATE/EUR/2D/3M,-0.0001230000
2016-02-05,MM/RATE/EUR/2D/6M,0.0002460000
2016-02-05,MM/RATE/USD/0D/1D,0.0044800000
2016-02-05,MM/RATE/USD/2D/3M,0.0079610000
2016-02-05,MM/RATE/USD/2D/6M,0.0080470000
2016-02-05,RECOVERY_RATE/RATE/BANK/SR/USD,0.4000000000
